Bus,DeviceType,P_pu,Q_pu,I_pu,CurrentAngle_deg,Pmin_pu,Pmax_pu,Qmin_pu,Qmax_pu
1732,1,0.006,0.001,0.00603577264966897,58.1909258261938,-Inf,Inf,-0.005,0.005
256,1,0.006,0.001,0.00653337365402573,97.5685728183108,-Inf,Inf,-0.005,0.005
3115,1,0.006,0.001,0.00612099027747476,-174.204552842629,-Inf,Inf,-0.005,0.005
817,1,0.006,0.001,0.00583065770397536,-75.456077899513,-Inf,Inf,-0.005,0.005
2627,1,0.006,0.001,0.00615299947953039,-87.5638592979119,-Inf,Inf,-0.005,0.005
1609,1,0.006,0.001,0.00470480681083566,43.9975506174241,-Inf,Inf,-0.005,0.005
3424,1,0.006,0.001,0.00612056444197608,149.781076610009,-Inf,Inf,-0.005,0.005
3365,1,0.006,0.001,0.00636966273589232,162.012707325542,-Inf,Inf,-0.005,0.005
3185,1,0.006,0.001,0.00610969922347922,-176.346223483166,-Inf,Inf,-0.005,0.005
3943,1,0.006,0.001,0.00608970217306095,140.834076384518,-Inf,Inf,-0.005,0.005
2217,1,0.006,0.001,0.00615159398108091,-56.2335829265211,-Inf,Inf,-0.005,0.005
2125,1,0.006,0.001,0.00620389432241718,-51.5901858800541,-Inf,Inf,-0.005,0.005
3916,1,0.006,0.001,0.00608960388889203,141.377236496216,-Inf,Inf,-0.005,0.005
3379,1,0.006,0.001,0.00615225422845202,150.83556156684,-Inf,Inf,-0.005,0.005
2255,1,0.006,0.001,0.00615962190109174,-59.4273758809671,-Inf,Inf,-0.005,0.005
934,1,0.006,0.001,0.00551725861424772,-59.7370075813327,-Inf,Inf,-0.005,0.005
2129,1,0.006,0.001,0.00619403282039943,-52.4896544983052,-Inf,Inf,-0.005,0.005
3653,1,0.006,0.001,0.00609142453904647,147.084135281027,-Inf,Inf,-0.005,0.005
3292,1,0.006,0.001,0.00615815860034226,-177.871444595991,-Inf,Inf,-0.005,0.005
865,1,0.006,0.001,0.00603517125209304,-69.1676227698538,-Inf,Inf,-0.005,0.005
1034,1,0.006,0.001,0.00554817472064817,-42.3753591200345,-Inf,Inf,-0.005,0.005
2794,1,0.006,0.001,0.00670043149483588,-152.624550487427,-Inf,Inf,-0.005,0.005
2983,1,0.006,0.001,0.00611704493872079,-169.063887836624,-Inf,Inf,-0.005,0.005
1925,1,0.006,0.001,0.00622352191081623,-5.48620211303645,-Inf,Inf,-0.005,0.005
2068,1,0.006,0.001,0.00622349435588729,-42.7347148642922,-Inf,Inf,-0.005,0.005
760,1,0.006,0.001,0.00600108452835836,-80.1997986579855,-Inf,Inf,-0.005,0.005
1069,1,0.006,0.001,0.00403112668503364,-7.36277964496659,-Inf,Inf,-0.005,0.005
445,1,0.006,0.001,0.00418589261491438,26.5615162906413,-Inf,Inf,-0.005,0.005
3817,1,0.006,0.001,0.00608550755288659,142.271917806341,-Inf,Inf,-0.005,0.005
2833,1,0.006,0.001,0.00665198700516803,-155.71421107858,-Inf,Inf,-0.005,0.005
2435,1,0.006,0.001,0.00614630435345598,-74.488372896651,-Inf,Inf,-0.005,0.005
1621,1,0.006,0.001,0.00380165543418134,49.0162101171187,-Inf,Inf,-0.005,0.005
2308,1,0.006,0.001,0.00617497843508451,-61.2812787437379,-Inf,Inf,-0.005,0.005
3466,1,0.006,0.001,0.00610164992630088,149.079739413349,-Inf,Inf,-0.005,0.005
3483,1,0.006,0.001,0.00609177248280192,149.063576108318,-Inf,Inf,-0.005,0.005
