Bus,V_pu,Angle_deg,P_pu,Q_pu,Iinj_pu
192,-0.854619327157503,-871.534745250403,0.0542664779889818,-0.0270513151817233,0.070949920913866
193,-0.873248247476548,-867.404294746403,-0.138134447908661,0.183062079785849,0.262618691604492
194,-0.887056250620824,-864.051147825171,-0.0167349191657773,0.064953437547721,0.0756148601286483
195,-0.904974774596163,-859.397166432616,-0.0563409504837135,0.110095484939686,0.13666043184028
196,-0.914714148429041,-856.675762527806,-1.58747487167106,4.17579664382077,4.8838923715541
197,-0.831202212330889,-875.883348310967,-1.07765647608962,1.90535261202983,2.63353240009042
198,-0.741336321411594,-891.866538084831,-2.78660000927028,2.31729724720997,4.88877287916555
199,-0.525408779511376,-919.17521449326,-1.18713986595854,1.15454361882713,3.15179484923896
200,-0.409345141859873,-931.022954566012,-1.37660917151592,0.503714953217368,3.58101791925546
201,-0.162245375336533,-948.642687073864,-1.17127022913096,0.204808022984964,7.32866341772407
202,-0.30606755000651,-937.146784188003,-0.775540442914152,0.584928396138005,3.17378605180581
203,-0.601663697196809,-909.633270103438,-3.66450948641564,2.61932021098397,7.48654644705365
204,-0.776820671072702,-883.998454925346,-2.76214100045552,16.7670901182942,21.8751632571072
205,-0.601341985109768,-910.23563723156,-1.81147536650589,1.96102778419054,4.43950015872488
206,-0.464759708534253,-925.612956596634,-2.00083756581024,0.868591413368076,4.69326105673534
207,-0.185669328859282,-946.905803232845,-0.620561974940978,0.146215769443956,3.43381902025118
208,0.102728182844565,-960.916568736425,0.131269667618901,-0.0201844477110912,1.29285276228387
209,0.256251891020515,-966.756710436816,0.183041733508653,0.043765452503074,0.734438280797769
210,0.517540776486563,-972.84726936919,0.0140216072000761,0.128945293088455,0.250618731067319
211,0.678604585744575,-974.661612929601,-0.58198694204644,0.4337472446488,1.06960847701337
212,0.675107140747444,-974.72437249612,-0.00185264709864074,-0.000152062947557668,0.00275345508741698
213,0.673524549319258,-974.746770102975,-0.00118049177100454,-3.14584799021814e-05,0.00175333009077342
214,0.670399061793773,-974.78236418569,-0.00317328499989211,0.00154549831985327,0.00526497171483605
215,0.668629525282249,-974.772805992248,0.0020258511158622,-0.00215803426337107,0.00442686079905222
216,0.666522679852553,-974.799625556356,-0.00162475487262789,-0.000338624573838072,0.00249003850117576
217,0.663408868635784,-974.832156402773,-0.00456455194014925,0.00255290547760729,0.00788346110187789
