P,Q,V_mag,V_theta,I_max_tail,I_min_tail,I_avg_tail,Iphase_max_tail,Iphase_min_tail,Iphase_avg_tail,I1_avg_tail,I2_avg_tail,I3_avg_tail,V1_avg_tail,V2_avg_tail,V3_avg_tail,V_avg_tail,Vphase_avg_tail,P_avg_tail,Q_avg_tail,V1_inv_tail,V2_inv_tail,V3_inv_tail,I1_inv_tail,I2_inv_tail,I3_inv_tail
50.0,50.0,110.0,30.0,0.6146621395988626,0.2431919024577122,0.4549174831705966,2.169825539067659,1.1795394764808218,1.6527925218038875,6.095851058063369,6.09803998832271,6.095057164054962,28.658059102372665,28.68242613252322,28.67712224714293,0.3508768481187356,0.4951860277284701,-0.07104593566438792,2.3544067733819034,0.814017189128483,0.8153211537165818,0.8140021847417805,0.7729451251777737,0.7727983812410438,0.7724977185043567
20.0,20.0,120.0,-30.0,0.6674535871393278,0.2575004172863872,0.49102908155306174,1.1546079345216935,0.0913627343666362,0.597856502600867,6.225034150359521,6.2288230553828114,6.224288023506677,30.759241622078534,30.749595793966364,30.76491949146952,0.38819934659205857,-0.5455610817827639,-0.07400287848126089,2.140078813147975,0.8193793474606228,0.8191252731060787,0.8194629471468828,0.7896695258085782,0.789593976524751,0.7890717234083934
90.0,0.0,70.0,30.0,0.4214094919529165,0.1085058903423292,0.2992425844880117,2.230682846518699,1.1484025437468102,1.6821220811468767,5.198229459026934,5.202528573989992,5.20673051023967,20.701560314405324,20.760112004672578,20.79772101411926,0.23111887164539663,0.42494646775153244,-0.05012638076368229,2.581798543719868,0.7494904140334611,0.7506297805588196,0.7512499651392994,0.658227411826942,0.6592214321919875,0.6586715261010966
20.0,90.0,30.0,60.0,0.315453752980437,0.0044214333527576,0.19287407855469071,3.140243059062332,-3.138438350353644,0.6159357452222513,4.624449446497686,4.6202363614831725,4.621725800338282,14.303954354532209,14.253784227440054,14.295557470768575,0.19651275551384248,0.24639973124368672,-0.059773270700701826,2.5640404162379835,0.6882682302964787,0.687716142586226,0.6872076338356196,0.5847484502620854,0.5844880046407763,0.5850330545987055
50.0,50.0,90.0,120.0,0.5078540826756651,0.196836395267168,0.37494444225423745,3.140626828560769,-3.140806269427374,-0.295378817842356,5.521541308491106,5.536101760611447,5.523368925891708,24.454088419629798,24.273348689105575,24.32955795599655,0.2825882603885781,2.03369724689581,-0.0673693930446267,2.3129561702641386,0.7612081852624105,0.7615831107502948,0.7646142989780004,0.7005290667606624,0.7010034410028689,0.6992433925918909
50.0,20.0,50.0,-30.0,0.3769870441014481,0.0208565606773026,0.24087327782716444,1.6713284223318268,-0.3345442709870311,0.7005601380498645,5.111030538428413,5.109445393896624,5.1122229015415295,17.57763067308397,17.689075153931128,17.76279893056195,0.2176393445190405,-0.4738501094524597,-0.05688308052725302,2.8970737945822376,0.7530178673175367,0.7513117233211971,0.7512079700665076,0.6467320681590427,0.6468931708035568,0.6467671510878894
100.0,0.0,50.0,-60.0,0.3690944084803241,0.0342206029770953,0.23807344431145272,1.0679912871244317,-0.6358597076846336,0.18428575929420082,4.993513822380951,5.004919756609568,4.996234315711425,17.39792870557054,17.492409962968548,17.407392933868806,0.2029537494441171,-0.7515253068186756,-0.05163416057688656,2.763592429422743,0.7386842914516707,0.7372080962892995,0.7369410553692965,0.6328461065946889,0.6331777431644671,0.6316491302765695
20.0,50.0,60.0,60.0,0.4003128963054134,0.0766847946697748,0.2708394641393674,2.9162495837280176,1.619724568101118,2.2429525280031197,5.0836636262009005,5.083015366649678,5.086529204293732,19.165209826508523,19.005059529457558,18.883575146191344,0.21959832622879633,0.7527588200059778,-0.061724004333569976,2.651092395840724,0.7407456809868067,0.7379730793705851,0.7407269571634687,0.6432172582586749,0.6436159912051028,0.6440986457376441
90.0,20.0,120.0,60.0,0.6590368332654035,0.2595817806919569,0.48768014123377385,2.710318714926792,1.6804955368580765,2.166443864732669,6.206561285221951,6.22878641382508,6.211884308013916,30.704414681526757,30.680581047399443,30.70206129707519,0.38708552963646153,1.0333386671147529,-0.06303112763576607,2.1296351801046134,0.8168430900799024,0.8169875597742107,0.816744335904909,0.7885687561520777,0.7893303025628666,0.7864279757119914
100.0,0.0,60.0,30.0,0.3945841765267966,0.0712178695271762,0.26937937851882954,2.3749521247535736,1.057031914039422,1.713247552445553,5.1151742661569735,5.109265469355779,5.109023768229114,19.085813358030006,19.00387952636401,19.106908520638587,0.21957967170077558,0.3278528779995519,-0.05385777886299288,2.696726305620319,0.7439030446872752,0.7463197844076517,0.7455409396056395,0.6471357475422038,0.6464837106169384,0.6472649952863889
