P,Q,V_mag,V_theta,I_max_tail,I_min_tail,I_avg_tail,Iphase_max_tail,Iphase_min_tail,Iphase_avg_tail,I1_avg_tail,I2_avg_tail,I3_avg_tail,V1_avg_tail,V2_avg_tail,V3_avg_tail,V_avg_tail,Vphase_avg_tail,P_avg_tail,Q_avg_tail
0.0,50.0,120.0,-60.0,0.8183023996571984,0.8019496448841265,0.8105445802649686,2.660919918319044,2.6067148707010146,2.636931125309338,0.8109824465233467,0.8111833875990658,0.8114814260867865,34.37785411307441,34.380577881090495,34.37701834438061,34.204437814050166,-1.5702686699523867,0.010565334150470057,0.5001154029490584
0.0,90.0,70.0,-60.0,1.9096555978062977,1.888495599998724,1.9021197526731959,2.654896211581051,2.6178226190657643,2.628564002250741,1.9029584320281783,1.90145362006693,1.9025663570957296,22.226498159987813,22.234614349975228,22.237678973236182,22.110125124498197,-1.569811339457536,0.00862096824290265,0.8986997640205134
20.0,20.0,90.0,60.0,0.3887223468329167,0.3786075079607222,0.38608481219802665,-0.2485084846250297,-0.2754401177194727,-0.26045744041495117,0.3873387901719817,0.38694365668691205,0.3854655495197747,24.94748707166075,24.936313129177336,24.934800301202458,24.898888868807393,0.5461764360535389,0.16020777719738175,0.048022766047768464
0.0,20.0,40.0,-60.0,0.6588129141825054,0.6457399859115767,0.651476070681236,2.7790916882099683,2.626010302086764,2.671070581742699,0.6521434399057413,0.6515736028136898,0.6517654809793048,11.986881851289176,11.997794784431095,11.99506265449225,11.978426161725489,-1.5666823909962888,0.007140509678638914,0.15369935396872433
0.0,20.0,60.0,60.0,0.5608721667290737,0.5561414068240169,0.5584446305983986,-1.5636986590083548,-1.6024228146112791,-1.5788426535858335,0.5583087562379354,0.5600993392208573,0.5573870000883843,17.36335476914506,17.35404297562806,17.357498060089483,17.33780053130548,0.5230637743758728,-0.0011058948931018497,0.17955571672672724
100.0,0.0,60.0,120.0,2.103910524312446,2.0791911406574592,2.0995059745240705,1.556274924710644,1.4750354386011777,1.5412545028655789,2.099016539998992,2.100098287690983,2.100388774462223,15.256559048699486,15.261178482770399,15.258383939269468,15.258681403687323,1.7550267370707824,0.528871644315669,0.04577183606024904
50.0,0.0,110.0,30.0,0.9962430461992144,0.9551666091602626,0.9738269143526147,-0.3943710372248132,-0.4124225173674676,-0.4013381014042518,0.9738451772148902,0.9740803309685343,0.9732263083569425,30.189902752904597,30.181503511971517,30.18244973452195,30.09724356669321,0.048480311809488634,0.5071520643424148,0.00097652811952302
50.0,20.0,100.0,30.0,1.1124640281813174,1.0768223451957466,1.0925751675360353,-0.747833439964615,-0.7632729113211274,-0.7542519489255581,1.092283579777402,1.0916866053249465,1.0934213604154581,28.000040969364516,27.993944972519753,28.001935902365496,27.915208761901013,0.05745579968472246,0.5073064584794544,0.20108560243463944
50.0,50.0,0.0,-60.0,1.8093003207282263,1.8025179780407432,1.8060446030933777,1.0796797131338003,-0.6800456998126452,0.19998780714389527,1.8102371881694905,1.8033381036346845,1.8052457375185316,2.7809900069724565,2.7896544960106113,2.778469678034409,2.7484900525076754,2.1815526946205903,0.0008035998588616672,0.24604135655628448
90.0,20.0,120.0,30.0,1.600365734883039,1.5760919369534476,1.5826134363989766,-0.5444131758466605,-0.5551836969360417,-0.5496954990335885,1.5838151759772015,1.5832840010526232,1.582037607965567,33.276506841411106,33.268394968479505,33.26991337665149,33.14012692736642,0.07204704652731334,0.9056635381278566,0.20147100468475443
0.0,20.0,20.0,-30.0,0.7592736394329552,0.7430014854795874,0.7506480663666525,-2.932013779849117,-3.1109155518922837,-3.0375944864269617,0.7506258024451629,0.7524421654400772,0.7502633126226999,6.639300180531751,6.640653593365966,6.6400309374773165,6.626085005339083,-1.029941583463112,0.007838721028880252,0.11239546478483212
20.0,0.0,20.0,-60.0,0.6763273784196924,0.5945896190789843,0.6265448616874738,-1.7757982924173643,-2.156963165283347,-1.9933695048210314,0.6390673618304419,0.639624469104283,0.6408239809387738,5.544879604006303,5.5648441172635,5.564868210786753,5.487055337602513,-1.3991096628803044,0.0594072478715944,0.0254760476316359
20.0,90.0,70.0,-60.0,1.9631860924771956,1.910542580063618,1.9509709292331858,2.9513768932495377,2.931456208341872,2.9400417835781147,1.953049979918816,1.9514774960934176,1.9508064516028443,22.180070189702946,22.185670362241762,22.18735159070307,22.055028572463943,-1.5289273141931494,0.2073333466906803,0.8951612584246944
50.0,20.0,70.0,60.0,1.158892916964576,1.1458973235940892,1.1558515279630441,-0.2270171274029093,-0.2480372931758153,-0.2306323906328659,1.1562858091078183,1.1552391655352148,1.1565960574822114,19.74565736517612,19.738341244698276,19.749880692030636,19.71984271984447,0.6097566471150654,0.3752889456458475,0.18449593143432247
100.0,0.0,60.0,60.0,2.103465798249492,2.097731622259936,2.1000847013920323,0.5110314182885948,0.4711615254358103,0.5032983491032371,2.1004689955993587,2.099283167727163,2.100617265004864,15.232716312278239,15.229904618008815,15.234606323277113,15.23049164540036,0.7072882596406442,0.5263580288313804,0.040574170326328055
0.0,20.0,70.0,120.0,0.4840869747075185,0.4486282399540429,0.4615437126428224,-0.4438070447692016,-0.5274105249747845,-0.46644005875493344,0.46166232503260757,0.4623397467671993,0.461647935544226,19.96615577556265,19.972581174679508,19.96997539660015,19.945534086218778,1.5727329662056735,0.008875550252140004,0.16527647329105105
0.0,50.0,50.0,0.0,1.1570631080245213,1.1538231926666538,1.1553102246630735,-2.6172644721590226,-2.624187632368481,-2.6206506337260183,1.154753465360237,1.1543179686303322,1.1570434123160076,15.521297498827142,15.522212470702083,15.516568394037147,15.488944699970563,-0.5242365195374429,-0.0002475098912259368,0.37196616296313884
20.0,20.0,110.0,-30.0,0.5363750817291124,0.512684354464813,0.528003222789388,-2.299531750570249,-2.348461170047864,-2.318510233094942,0.5293637701656271,0.5324355600380434,0.527670306965086,30.90023033174664,30.90993516741012,30.893473093593347,30.78226168564328,-1.0283009230551357,0.2037385013078342,0.1996294608563264
0.0,100.0,60.0,-60.0,1.8963210912862485,1.8916483016022496,1.8938416118057517,2.6539158146599164,2.619674334313334,2.6279283500334234,1.8935504071882996,1.8935439154478653,1.8946528678303742,19.411488657899422,19.422283500934064,19.426712703767713,19.349927914571175,-1.5697656043212995,0.007017452308727186,0.8049495269284527
0.0,20.0,90.0,60.0,0.134239108130971,0.1178079384334582,0.1275556789335692,0.0229596163553986,-0.2095928186755722,-0.10648046767976047,0.13028292948924583,0.12898903878989496,0.12911543079914373,24.79526146228363,24.781980961196275,24.796297102347836,24.760755194636904,0.5313065268685508,0.05461405344201445,0.0014352588644845916
0.0,90.0,50.0,120.0,0.7427638425344261,0.5829698457940224,0.7112069613657964,1.1559866950874356,0.8582999173752053,1.0936401483568008,0.7152738137414387,0.7146814081396732,0.7143548204966788,13.735696492705143,13.743241996891866,13.735824979303999,13.738951238077682,1.6488826533186822,0.1680481581930611,0.028591401442700726
